   8.0000000e+02   8.0100000e+02   8.0200000e+02   5.0000000e-01   2.6250000e-02   9.9750000e-01  -2.3750000e-02
   1.5580000e+03   1.5590000e+03   1.5600000e+03   9.7368421e-01   1.2184557e-01   9.5894044e-01  -8.0786011e-02
   2.3160000e+03   2.3170000e+03   2.3180000e+03   1.4473684e+00   2.4073753e-01   8.7378809e-01  -1.1452562e-01
   3.0730000e+03   3.0740000e+03   3.0750000e+03   1.9210526e+00  -1.2496884e-01   7.5783241e-01   3.6713643e-01
   3.8310000e+03   3.8320000e+03   3.8330000e+03   2.3947368e+00  -1.1211565e-01   8.8475762e-01   2.2735803e-01
   4.5890000e+03   4.5900000e+03   4.5910000e+03   2.8684211e+00  -7.5966066e-02   9.6509003e-01   1.1087604e-01
   5.3470000e+03   5.3480000e+03   5.3490000e+03   3.3421053e+00  -1.6520083e-02   9.9882964e-01   1.7690443e-02
   6.1050000e+03   6.1060000e+03   6.1070000e+03   3.8157895e+00   6.6222299e-02   9.8597645e-01  -5.2198753e-02
   6.8630000e+03   6.8640000e+03   6.8650000e+03   4.2894737e+00   1.7226108e-01   9.2653047e-01  -9.8791551e-02
   7.6210000e+03   7.6220000e+03   7.6230000e+03   4.7631579e+00   3.0159626e-01   8.2049169e-01  -1.2208795e-01
   8.3780000e+03   8.3790000e+03   8.3800000e+03   5.2368421e+00  -1.2208795e-01   8.2049169e-01   3.0159626e-01
   9.1360000e+03   9.1370000e+03   9.1380000e+03   5.7105263e+00  -9.8791551e-02   9.2653047e-01   1.7226108e-01
   9.8940000e+03   9.8950000e+03   9.8960000e+03   6.1842105e+00  -5.2198753e-02   9.8597645e-01   6.6222299e-02
   1.0652000e+04   1.0653000e+04   1.0654000e+04   6.6578947e+00   1.7690443e-02   9.9882964e-01  -1.6520083e-02
   1.1410000e+04   1.1411000e+04   1.1412000e+04   7.1315789e+00   1.1087604e-01   9.6509003e-01  -7.5966066e-02
   1.2168000e+04   1.2169000e+04   1.2170000e+04   7.6052632e+00   2.2735803e-01   8.8475762e-01  -1.1211565e-01
   1.2926000e+04   1.2927000e+04   1.2928000e+04   8.0789474e+00   3.6713643e-01   7.5783241e-01  -1.2496884e-01
   1.3683000e+04   1.3684000e+04   1.3685000e+04   8.5526316e+00  -1.1452562e-01   8.7378809e-01   2.4073753e-01
   1.4441000e+04   1.4442000e+04   1.4443000e+04   9.0263158e+00  -8.0786011e-02   9.5894044e-01   1.2184557e-01
   1.5199000e+04   1.5200000e+04   1.5201000e+04   9.5000000e+00  -2.3750000e-02   9.9750000e-01   2.6250000e-02
